Row,Column,Cell_Line,Green
4,2,MCF7,Venus
4,3,MCF7,V-ActA
4,4,MCF7,V-Cb5
4,5,MCF7,V-Bik
4,6,MCF7,V-Bik-L61G
4,7,MCF7,V-Bik-4E
4,8,MCF7,MitoGreen
4,9,MCF7,Venus
4,10,MCF7,V-ActA
4,11,MCF7,V-Cb5
4,12,MCF7-CBclXL,Venus
4,13,MCF7-CBclXL,V-ActA
4,14,MCF7-CBclXL,V-Cb5
4,15,MCF7-CBclXL,V-Bik
4,16,MCF7-CBclXL,V-Bik-L61G
4,17,MCF7-CBclXL,V-Bik-4E
4,18,MCF7-CBclXL,MitoGreen
4,19,MCF7-CBclXL,Venus
4,20,MCF7-CBclXL,V-ActA
4,21,MCF7-CBclXL,V-Cb5
9,2,MCF7-CBclXL-ActA,Venus
9,3,MCF7-CBclXL-ActA,V-ActA
9,4,MCF7-CBclXL-ActA,V-Cb5
9,5,MCF7-CBclXL-ActA,V-Bik
9,6,MCF7-CBclXL-ActA,V-Bik-L61G
9,7,MCF7-CBclXL-ActA,V-Bik-4E
9,8,MCF7-CBclXL-ActA,MitoGreen
9,9,MCF7-CBclXL-ActA,Venus
9,10,MCF7-CBclXL-ActA,V-ActA
9,11,MCF7-CBclXL-ActA,V-Cb5
